Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2019-08-27,MFP iOS calorie adjustment,Cardio,23.0,1,,,,1332,
2019-08-28,MFP iOS calorie adjustment,Cardio,91.0,1,,,,4200,
2019-08-29,MFP iOS calorie adjustment,Cardio,254.0,1,,,,13851,
2019-08-30,MFP iOS calorie adjustment,Cardio,105.0,1,,,,5448,
2019-08-31,MFP iOS calorie adjustment,Cardio,179.0,1,,,,8758,
2019-09-01,MFP iOS calorie adjustment,Cardio,30.0,1,,,,1629,
2019-09-02,MFP iOS calorie adjustment,Cardio,130.0,1,,,,5201,
2019-09-03,Barbell Military Press,Strength,,,1,10,4.5,,
2019-09-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,426,
2019-09-03,"Running (jogging), 6 mph (10 min mile)",Cardio,68.0,4,,,,,
2019-09-03,"Stationary bike, moderate effort (bicycling, cycling, biking)",Cardio,119.0,10,,,,,
2019-09-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,6588,
2019-09-04,"Stationary bike, moderate effort (bicycling, cycling, biking)",Cardio,119.0,10,,,,,
2019-09-04,"Walking, 3.0 mph, mod. pace",Cardio,140.2,25,,,,,
2019-09-05,MFP iOS calorie adjustment,Cardio,193.0,1,,,,7977,
2019-09-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,6069,
2019-09-06,"Stationary bike, moderate effort (bicycling, cycling, biking)",Cardio,238.0,20,,,,,
2019-09-06,"Walking, 3.0 mph, mod. pace",Cardio,140.2,25,,,,,
2019-09-07,MFP iOS calorie adjustment,Cardio,54.0,1,,,,2448,
2019-09-08,MFP iOS calorie adjustment,Cardio,0.0,1,,,,7635,
2019-09-08,"Running (jogging), 6 mph (10 min mile)",Cardio,119.0,7,,,,,
2019-09-08,"Walking, 3.0 mph, mod. pace",Cardio,196.3,35,,,,,
2019-09-09,MFP iOS calorie adjustment,Cardio,163.0,1,,,,6235,
2019-09-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4710,
2019-09-10,"Stationary bike, moderate effort (bicycling, cycling, biking)",Cardio,297.0,25,,,,,
2019-09-10,"Walking, 3.0 mph, mod. pace",Cardio,140.0,25,,,,,
2019-09-11,MFP iOS calorie adjustment,Cardio,1.0,1,,,,97,
