Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2019-09-03,Breakfast,1:30 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-03,Lunch,1:15 PM,940,24.5,8.6,0,0,0,4,1230,75,94,6,3,99,0,0,6,30
2019-09-03,Dinner,7:35 PM,105,0.4,0.1,0.1,0,0,0,1.2,422.4,27,3.1,14.4,1.3,3.5,10.3,5.9,0.3
2019-09-03,Snacks,7:35 PM,180,16,3,0,0,0,0,0,0,6,2,2,8,0,0,0,4
2019-09-04,Lunch,2:20 PM,890,30,10.5,0,0,0,110,2500,0,103,10,17,52,26,50,80,40
2019-09-04,Dinner,7:20 PM,140,1.5,0.2,0,0,0,0,210,25,30,2,1,5,0,0,2,10
2019-09-04,Snacks,2:25 PM,525,25,15,0,0,0.3,25,160,0,67.5,2.5,62.5,5,5,0,15,37.5
2019-09-05,Lunch,4:50 PM,980,58.9,16,4,20,1,130,100,0,180,4.5,2.7,44.2,0,45,0,30
2019-09-05,Dinner,7:25 PM,440,20,10,0,0,0,0,1800,0,54,4,4,10,16,4,4,20
2019-09-05,Snacks,7:20 PM,597,28.5,4.3,3.8,18.3,0,0,114.8,2368.4,90.8,18.6,61.7,5.6,14.9,99.2,34.4,5.6
2019-09-06,Breakfast,1:05 PM,237,13.8,0,0,0,0,0,0,0,25,0,0,5,0,0,0,0
2019-09-06,Lunch,1:05 PM,420,1,0,0,0,0,0,1820,360,92,4,4,10,0,0,4,12
2019-09-06,Dinner,6:35 PM,990,69.5,25.2,15,7.5,1.4,242.5,3232.5,25,40.3,2,1,60,20,0,42,34
2019-09-06,Snacks,7:15 PM,255,3.4,0.6,0.1,0,0,0,251.2,517.4,44,10.1,15.4,16.3,3.5,10.3,15.9,15.3
2019-09-07,Lunch,,680,58,16,4,20,1,130,100,0,0,0,0,40,0,0,0,30
2019-09-07,Lunch,12:25 PM,490,2.4,0.2,0,0,0,0,560,25,222.5,6.5,13.7,10,0,45,2,10
2019-09-07,Dinner,,610,48,13,15,7.5,0.8,182.5,2622.5,0,8.3,0,0,41,0,0,0,24
2019-09-07,Dinner,5:35 PM,145,1.5,0.2,0,0,0,0,470,75,32,3,2,5,0,20,2,10
2019-09-07,Snacks,12:25 PM,150,0.5,0.1,0.1,0,0,0,2,310,40.1,7,30.2,0.8,3.1,22.3,1.8,1.9
2019-09-08,Breakfast,11:15 AM,380,21.5,12.2,0,0,0.6,60,680,25,32,2,1,19,20,0,42,10
2019-09-08,Lunch,3:20 PM,706,32,16,0,0,0.9,90,3445,0,85,0,0,23,24,0,45,0
2019-09-08,Dinner,1:30 PM,790,39,12.5,0,0,2.8,70,1430,0,61.5,3,8,30.5,4,23,10,20
2019-09-08,Snacks,3:25 PM,249,0.4,0.1,0.1,0,0,0,1.2,422.4,39.8,3.1,14.4,1.3,3.5,10.3,5.9,0.3
2019-09-09,Breakfast,1:30 PM,75,0.3,0,0.1,0,0,0,1,155,20.1,3.5,15.1,0.4,1.6,11.2,0.9,0.9
2019-09-09,Lunch,1:30 PM,980,58.9,16,4,20,1,130,100,0,180,4.5,2.7,44.2,0,45,0,30
2019-09-09,Dinner,6:05 PM,1866,87.1,25.5,18,9,0.9,235,5032.5,0,212.8,0,0,63.7,24,0,45,4
2019-09-09,Snacks,1:30 PM,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2019-09-10,Breakfast,5:10 PM,370,22.3,13.8,0,0,0.9,60,988.8,0,21.3,0,0,16.3,12,0,12,12
2019-09-10,Lunch,5:10 PM,440,20,10,0,0,0,0,1800,0,54,4,4,10,16,4,4,20
2019-09-10,Dinner,5:15 PM,680,18,5.2,0,0,0,120,3140,0,80,0,0,46,0,0,0,32
2019-09-10,Snacks,5:10 PM,350,3,0.6,0,0,0,0,150,0,42.8,0,0,8,0,0,0,0
2019-09-11,Breakfast,1:20 PM,180,3,0.6,0,0,0,0,150,0,36,0,0,3,0,0,0,0
2019-09-11,Lunch,1:25 PM,1020,64.8,11.2,24,12,0,170,1280,0,72.4,0,0,39.6,0,0,0,4
